PULocationID,total_emissions,emissions_10_20,reduction_10_20,emissions_20_30,reduction_20_30
230,257314003.281529,218716902.78929967,38597100.49222934,180119802.2970703,77194200.98445871
231,312677721.4234573,265776063.2099387,46901658.21351862,218874404.99642012,93803316.42703721
233,194985517.79421905,165737690.1250862,29247827.66913286,136489862.45595333,58495655.33826572
234,183472758.99266577,155951845.1437659,27520913.84889987,128430931.29486603,55041827.69779974
235,178119865.19812125,151401885.41840306,26717979.77971819,124683905.63868487,53435959.55943638
236,267781167.39720005,227613992.28762004,40167175.10958001,187446817.17804003,80334350.21916002
237,211917652.61039454,180130004.71883535,31787647.891559184,148342356.82727617,63575295.78311837
238,205733574.7277389,174873538.51857805,30860036.209160835,144013502.30941722,61720072.41832167
239,219931011.34494942,186941359.643207,32989651.70174241,153951707.94146457,65979303.40348485
241,182706651.22787866,155300653.54369685,27405997.68418181,127894655.85951506,54811995.368363604
242,125453380.30511838,106635373.25935063,18818007.045767754,87817366.21358286,37636014.09153552
243,224625934.5042002,190932044.32857016,33693890.17563003,157238154.15294012,67387780.35126007
244,309463978.2880929,263044381.54487896,46419596.74321395,216624784.80166504,92839193.48642787
245,26113854.902445305,22196776.66707851,3917078.235366795,18279698.43171171,7834156.470733594
246,200713585.4372198,170606547.62163684,30107037.81558296,140499509.80605385,60214075.63116595
247,151841378.9494376,129065172.10702194,22776206.842415646,106288965.26460631,45552413.68483128
248,110518127.05645636,93940407.9979879,16577719.058468461,77362688.93951945,33155438.116936907
249,178257596.60076344,151518957.11064893,26738639.49011451,124780317.6205344,53477278.980229035
250,102513673.76605655,87136622.70114806,15377051.06490849,71759571.63623959,30754102.129816964
254,193909648.07426518,164823200.8631254,29086447.21113977,135736753.65198562,58172894.42227957
258,142807861.59869754,121386682.3588929,21421179.23980464,99965503.11908828,42842358.479609266
259,138235303.9661686,117500008.37124331,20735295.5949253,96764712.77631803,41470591.18985058
260,142122279.34690544,120803937.44486962,21318341.902035818,99485595.5428338,42636683.804071635
262,169290041.70356005,143896535.44802603,25393506.255534023,118503029.19249202,50787012.51106803
263,206383931.39606935,175426341.68665895,30957589.7094104,144468751.97724852,61915179.41882083
