PULocationID,total_emissions,trip_miles,average_speed,Suggested_Routes
76,2.903139258930575,1.360921446164487,11.856625312277949,"['72', '80', '85']"
61,2.7504582460230123,1.4511300729169156,12.261239211972018,"['52', '62', '63']"
42,2.4451480740836713,1.4260324428177664,12.346260352907505,['No Nearby Zones Found']
231,2.1791260323398296,1.4990175554100589,12.792277807362781,['No Nearby Zones Found']
244,2.143243864101504,1.630928769836025,13.98684873399925,['No Nearby Zones Found']
7,2.0711759584617404,1.4783527078661647,12.682078005258322,"['2', '8', '10']"
39,1.8752086357680724,1.3905577165391878,12.100402751919528,"['36', '55', '49']"
37,1.7369401697090299,1.534335543633666,12.830330689349953,"['35', '36', '49']"
89,1.7078409744991843,1.4819707644534272,12.490145235904606,"['85', '97', '106']"
236,1.6778458624457993,1.3637020865742635,11.807472148348177,['No Nearby Zones Found']
129,1.633774792204361,1.3828399075591247,12.00455966670645,['No Nearby Zones Found']
48,1.6217702922435733,1.4313670206706248,12.179048109535575,"['43', '50', '68']"
230,1.5609776100818509,1.6072247603524628,13.406411992231636,['No Nearby Zones Found']
68,1.5412868461885765,1.4219316355013094,12.080165179812147,"['48', '50', '79']"
74,1.4552490013448773,1.445266492222696,12.554308220674162,"['50', '75', '79']"
225,1.415720043533115,1.4968225780705047,12.52787479361638,"['189', '217', '255']"
141,1.3949879562656247,1.3549232323769018,11.6932357205926,['No Nearby Zones Found']
75,1.3404410732508862,1.5096674768730836,13.03385294039169,"['74', '79', '87']"
79,1.3394460929623706,1.4548234584852249,12.555997344686704,"['68', '75', '88']"
188,1.3179416671297746,1.4171530120554028,11.968870277647456,"['177', '190', '225']"
216,1.308310753606064,1.4269608377163994,12.571246919199666,['No Nearby Zones Found']
170,1.295346728016757,1.3027879225194445,11.318083093856671,['No Nearby Zones Found']
168,1.2773640545143812,1.4400775541387976,12.446418134967578,"['167', '159', '183']"
145,1.2691259679951645,1.5936858885907543,13.532877029719867,['No Nearby Zones Found']
181,1.2287039769195827,1.583604432368362,13.167797568146112,['No Nearby Zones Found']
243,1.1960079364489025,1.6039833498059461,13.643374510277939,['No Nearby Zones Found']
95,1.1703870860582544,1.5631874645580166,13.396402462394972,['No Nearby Zones Found']
239,1.1435880585773794,1.4652443307500442,12.573904907207393,['No Nearby Zones Found']
140,1.1152992695849493,1.5083651314981128,12.98216787827248,['No Nearby Zones Found']
14,1.0757504957241992,1.502002146446816,12.89189453199548,"['11', '17', '29']"
112,1.0612013292177205,1.5196532927777577,12.983280109789161,"['97', '108', '133']"
237,1.0541170977207797,1.2533868055942796,10.892726231447199,['No Nearby Zones Found']
143,1.0539694694125883,1.3884346951959192,12.05365238582463,['No Nearby Zones Found']
164,1.0268202291558992,1.407659044357433,12.019802100853427,['No Nearby Zones Found']
82,1.0197996693844347,1.4644254701262451,12.588853543969485,['No Nearby Zones Found']
69,1.0006300266437,1.3439171652008328,11.634104145481093,"['78', '60', '94']"
35,0.9949951949935835,1.3390771205067247,11.496442734082965,"['29', '37', '39']"
263,0.992331850041396,1.5265834780278489,13.1143700683371,['No Nearby Zones Found']
213,0.986135327680008,1.5285397750754366,13.310973647625373,"['212', '220', '235']"
238,0.9850704708940845,1.524711734422723,13.027351640938175,['No Nearby Zones Found']
107,0.9589374917840457,1.3545383320365618,11.753352834282527,['No Nearby Zones Found']
246,0.9290211562196015,1.3310608644592141,11.423390418673746,['No Nearby Zones Found']
142,0.9152617353541204,1.3858371016621835,11.96083444828965,['No Nearby Zones Found']
229,0.9085037099357867,1.3073785364857518,11.276329361347189,['No Nearby Zones Found']
130,0.9048212986462071,1.5062151058183266,12.996097430841054,['No Nearby Zones Found']
226,0.9005420103934016,1.493903168669198,12.784145850603,['No Nearby Zones Found']
50,0.8991616524681423,1.387674948919394,11.957011468976122,"['45', '68', '74']"
17,0.8846301051430276,1.5052706994034935,12.672375043249472,"['11', '14', '25']"
233,0.8650659867522826,1.3358393471410672,11.584480846521004,['No Nearby Zones Found']
41,0.8579367446932137,1.4123932987037888,12.118972229589943,"['13', '43', '45']"
254,0.85305365824068,1.464872843535441,12.732130454198485,"['250', '259']"
91,0.8488632879872415,1.381581436396829,11.93682999566047,['No Nearby Zones Found']
18,0.8115324688431345,1.3862101347221047,12.059835009002793,"['3', '20', '31']"
169,0.7715189637777136,1.3845428995558853,12.074562443669253,"['167', '185', '174']"
90,0.7527488121761343,1.3298282965547346,11.523785262811534,"['87', '88', '100']"
234,0.7365234334726602,1.2789519571376768,11.143294517573835,['No Nearby Zones Found']
241,0.7279696671799283,1.4263453430924902,12.36799929723328,"['240', '242', '247']"
72,0.7250636643730581,1.3195262649031707,11.366003125453064,"['71', '76', '80']"
198,0.7202841386960245,1.5046902109443736,12.718008148458756,['No Nearby Zones Found']
249,0.6782949670226776,1.3641165251359226,11.807063121273771,['No Nearby Zones Found']
235,0.6767571647923362,1.4334041720150146,12.43917189452714,"['213', '220', '240']"
78,0.6499172934828623,1.3873790443824723,12.100283331496321,"['60', '69', '94']"
223,0.6486812107603788,1.4725523337110498,12.707504726619579,['No Nearby Zones Found']
137,0.6481170119090605,1.4171940167982737,12.306851496105024,['No Nearby Zones Found']
116,0.6416689509437471,1.5519665445285198,13.304229404380877,['No Nearby Zones Found']
174,0.6088693585663959,1.4863907106795864,12.931622315219835,"['169', '185', '182']"
197,0.6029233271770336,1.4277865359692516,12.424623977932159,['No Nearby Zones Found']
256,0.5814913376770944,1.6219587346903863,13.600248087690149,['No Nearby Zones Found']
